,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
0,33,2022-02-01,1,12 am - 1 am,0.719,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
1,33,2022-02-01,1,12 am - 1 am,1.021042,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
2,33,2022-02-01,1,12 am - 1 am,1.34602,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
3,33,2022-02-01,1,12 am - 1 am,6.1512,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
4,33,2022-02-01,1,12 am - 1 am,6.4231,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
5,33,2022-02-01,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
6,33,2022-02-01,1,12 am - 1 am,61.759,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
7,39,2022-02-01,1,12 am - 1 am,0.120747,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
8,39,2022-02-01,1,12 am - 1 am,0.329328,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
9,39,2022-02-01,1,12 am - 1 am,0.655,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
10,39,2022-02-01,1,12 am - 1 am,0.678,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
11,39,2022-02-01,1,12 am - 1 am,0.649553,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
12,39,2022-02-01,1,12 am - 1 am,1.012619,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
13,39,2022-02-01,1,12 am - 1 am,3.54115,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
14,39,2022-02-01,1,12 am - 1 am,3.74965,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
15,39,2022-02-01,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
16,39,2022-02-01,1,12 am - 1 am,44.484,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
17,107,2022-02-01,1,12 am - 1 am,-0.217247,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
18,107,2022-02-01,1,12 am - 1 am,-0.124946,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
19,107,2022-02-01,1,12 am - 1 am,0.527,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
20,107,2022-02-01,1,12 am - 1 am,1.111325,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
21,107,2022-02-01,1,12 am - 1 am,5.005,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
22,107,2022-02-01,1,12 am - 1 am,6.2333,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
23,107,2022-02-01,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
24,107,2022-02-01,1,12 am - 1 am,54.317,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
25,259,2022-02-01,1,12 am - 1 am,-0.140542,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
26,259,2022-02-01,1,12 am - 1 am,-0.107495,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
27,259,2022-02-01,1,12 am - 1 am,0.498,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
28,259,2022-02-01,1,12 am - 1 am,0.21652,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
29,259,2022-02-01,1,12 am - 1 am,1.427829,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
30,259,2022-02-01,1,12 am - 1 am,7.264509,FAIR,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
31,259,2022-02-01,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
32,287,2022-02-01,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
33,287,2022-02-01,1,12 am - 1 am,0.761,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
34,287,2022-02-01,1,12 am - 1 am,1.470948,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
35,287,2022-02-01,1,12 am - 1 am,1.540124,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
36,287,2022-02-01,1,12 am - 1 am,5.075085,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
